well id,Lease Name,Well Number,Operator compnay,County,Landing Zone,Surf Lat,Surf Long,BH Lat,BH Long,Date Spud,Lateral Len (ft),Date Completed,Total Fluid (bbl),Total Proppant (lb),"Well Spacing, ft",Well Name,Fluid (bbl/ft),Prop (lb/ft),Avg PPG,"Oil EUR, Mbbl","Gas EUR, MMcf"
4.23294E+13,BRADFORD TRUST A UNIT 3,1513AH,XTO ENERGY INC,MIDLAND,WCMP A,31.73841,-102.00904,31.71565,-102.00382,8/17/2017,7654,10/5/2018,17406252,10804000,,BRADFORD TRUST A UNIT 3 1513AH,54,1412,0.62,208,3005
4.23294E+13,WARFIELD EAST C,103LS,DIAMONDBACK EXPLORATION & PROD LLC,MIDLAND,SPBYL SH,31.92223333,-102.2245139,31.89218611,-102.21475,2/3/2018,10358,6/5/2018,,,,WARFIELD EAST C 103LS,,,,758,932
4.23294E+13,ST,4043WA,DIAMONDBACK EXPLORATION & PROD LLC,MIDLAND,WCMP A,31.98251389,-102.2119389,31.95509444,-102.2053361,1/4/2018,10150,5/25/2018,15855777,16090000,,ST 4043WA,37,1585,1.01,456,1758
4.23294E+13,MUSTANG,H120UH,PERMIAN DEEP ROCK OIL CO LLC,MIDLAND,WCMP D,31.972125,-102.0679472,31.99783333,-102.0765361,5/29/2018,9233,9/5/2018,16382508,20288000,,MUSTANG H120UH,42,2197,1.24,858,1556
4.23294E+13,GBG 41/38 UNIT,0032LS,CHEVRON U S A INC,MIDLAND,SPBYL SH,31.85316,-102.1298256,31.87951667,-102.1406453,9/28/2017,9798,6/26/2018,21463544,20104000,,GBG 41/38 UNIT 0032LS,52,2052,0.94,759,1338
4.23294E+13,GBG 41/38 UNIT,0033WB,CHEVRON U S A INC,MIDLAND,WCMP A,31.85317861,-102.1297481,31.88020181,-102.1376241,1/18/2018,9975,6/23/2018,25829358,16740000,,GBG 41/38 UNIT 0033WB,62,1678,0.65,827,2430
4.23294E+13,GWENDOLYN,2622LA,HENRY RESOURCES LLC,MIDLAND,SPBYL SD,31.87575,-102.244552,31.89846057,-102.2509733,8/27/2017,7704,2/3/2018,16910512,14114000,,GWENDOLYN 2622LA,52,1832,0.83,353,109
4.23294E+13,HOGAN 1-13-D,2808H,PIONEER NATURAL RESOURCES USA INC,MIDLAND,SPBYL SH,32.0533278,-102.0739283,32.0332099,-102.0666196,9/9/2019,7199,1/15/2020,15317421,14050200,,HOGAN 1-13-D 2808H,51,1952,0.92,,
4.23294E+13,BANAY BA,02WB,SUMMIT PETROLEUM LLC,MIDLAND,WCMP B,31.67244885,-102.2486208,31.70019065,-102.2562762,12/7/2017,9302,12/18/2018,,,,BANAY BA 02WB,,,,449,1039
4.23294E+13,RIO SAN MARCOS 36-45 UNIT 1,242,ENDEAVOR ENERGY RESOURCES LP,MIDLAND,,31.791895,-102.005341,,,1/11/2018,,1/29/2018,,,,RIO SAN MARCOS 36-45 UNIT 1 242,,,,,
