API_UID,ClayVolume_PCT
42-383389920000,0.348545237
42-235358390000,0.323716062
42-383375670000,0.317503653
42-461400590000,0.296744733
42-329396330000,0.274632946
42-461391250000,0.304067227
42-105418460000,0.308328996
42-461401390000,0.36305144
42-383385530000,0.345443425
42-461401180000,0.219486184
42-235359050000,0.318976119
42-383386090000,0.284362555
42-461398150000,0.290433922
42-461397700000,0.300983677
42-383384050000,0.295345044
42-329402720000,0.249911284
42-329405150000,0.331929454
42-329406950000,0.167197679
42-329413330000,0.296486241
42-317402820000,0.303081988
42-317405940000,0.313909742
42-383397660000,0.310460082
42-383395770000,0.307348587
42-135434210000,0.245884585
42-173373580000,0.29527591
42-227387600000,0.279510527
42-227387990000,0.215043058
42-227388560000,0.216301091
42-003473550000,0.282331771
42-105419720000,0.394885302
42-105420160000,0.317368256
42-317393750000,0.260226214
42-173371580000,0.267745906
42-461398230000,0.300593165
42-235360720000,0.350632825
42-235357600000,0.301103104
42-383384480000,0.294881971
42-329401390000,0.313230745
42-461414360000,0.27353959
42-383408540000,0.338964962
42-383408560000,0.339347785
42-227405890000,0.287057886
42-227406120000,0.26109178
42-317429790000,0.258604246
42-329442080000,0.263462538
42-173383550000,0.313937365
42-227407380000,0.280999919
42-317431390000,0.305927683
42-317431460000,0.295521874
42-227407600000,0.303040171
42-317432120000,0.328893152
42-317432260000,0.312928345
42-173383800000,0.285905067
42-329444670000,0.29898137
42-461415870000,0.27564538
42-383409310000,0.319930327
42-227408690000,0.280801842
42-317433350000,0.227274723
42-227409560000,0.273284837
42-227410570000,0.176281249
42-383388490000,
42-235362360001,
42-317414090001,
42-329405900100,
42-317403760000,0.32532564
42-317405320000,0.314889236
42-329396510000,0.237797355
42-329406670000,0.214433451
42-329409480000,0.24724618
42-329414590000,0.28973026
42-317405080000,0.346958481
42-329408010000,0.27988128
42-329408020000,0.213231806
42-329410070000,0.30641084
42-317403980000,0.313724532
42-317404430000,0.306137134
42-317405480000,0.295693048
42-329409000000,0.35802561
42-329411190000,0.320416855
42-329412540000,0.249269059
42-329413450000,0.26154241
42-383397220000,0.352110791
42-383397450000,0.316034131
42-461401150000,0.261322009
42-461404370000,0.271501446
42-461404480000,0.310080141
42-461397680000,0.315695154
42-461402530000,0.226726749
