Well_ID,TotalOrganicCarbon_WTPCT
42-227384550000,1.692028059
42-329404450000,2.256368764
42-383394670000,1.95013232
42-317398930000,2.411390291
42-227382570000,1.136167329
42-235352240000,2.231619512
42-173367250000,2.277714462
42-383381120000,2.105828681
42-329402360000,1.996337968
42-383385490000,1.656071535
42-329391920000,2.380816147
42-329393660000,2.3904593
42-317402900000,1.650178624
42-461397870000,1.528536167
42-173368450000,2.156853727
42-383395950000,1.483101852
42-383377040000,2.1754793
42-227386050000,1.615595841
42-173357090000,2.63462196
42-173374950000,2.1928702
42-227389020000,2.414165664
42-235349980000,2.0525532
42-329405600000,1.54984829
42-383391200000,1.8972032
42-383397060000,1.88178255
42-461404850000,1.777413177
42-235356850000,2.422101513
42-383389070000,2.057419012
42-461389100000,0.899425214
42-105416510000,1.886707
42-329407030000,1.734299037
42-235355760000,2.156462735
42-383389920000,2.036220633
42-235348460000,1.940112689
42-235358390000,1.549162674
42-383375670000,1.959924047
42-461400590000,2.110516968
42-329396330000,1.350278941
42-461391250000,2.640417672
42-105418460000,1.686888267
42-461401390000,1.643437
42-383385530000,1.9120959
42-461401180000,1.243054188
42-235359050000,2.18913449
42-383386090000,2.067186155
42-461398150000,1.407951422
42-461397700000,1.810679038
42-383384050000,2.004338588
42-003473550000,1.992993391
42-135429130000,1.6687498
42-135434210000,1.1174015
42-173369440000,2.2567134
42-173373580000,1.798030623
42-227387600000,1.42089415
42-227387990000,1.527797593
42-227388560000,1.497684757
42-329440540000,2.141574
42-317428320000,1.949678504
42-317429140000,2.209368836
42-317429760000,2.543592
42-329441060000,1.446201128
42-317429890000,1.350007679
42-329441450000,2.01561565
42-329441660000,1.7983738
42-329441710000,1.7983738
42-329442050000,1.31232872
42-329442820000,1.73980112
42-173383610000,2.4256706
42-173383590000,1.799407
42-329443150000,1.612890356
42-461415430000,1.2186602
42-461415460000,0.49279904
42-317431630000,1.761423539
42-329443850000,1.929312087
42-003482710000,1.5805132
42-003482890000,1.2389507
42-383409160000,1.943456395
42-227408250000,2.236640481
42-329445110000,2.0785344
42-329445170000,1.972191555
42-227408420000,0.705531174
42-461416430000,0.950487944
42-135437840000,0.759559478
42-329446150000,1.207762468
42-329446440000,2.6374488
42-003483490000,1.821874943
42-329446650000,1.9210557
42-173384600000,1.384295813
42-329447030000,1.678298822
42-329447260000,2.4665723
42-173384800000,3.0066204
42-227410380000,1.73793
42-329448220000,1.8057241
42-329448300000,1.7890655
42-329448320000,1.6446259
42-317434930000,2.184973481
42-329448500000,2.357168136
42-173385000000,2.110153141
42-461418000000,1.138441
42-329449320000,1.8266393
42-317435920000,1.6293426
42-461418150000,0.562038
42-317436460000,1.7223488
42-227412010000,1.9058667
42-227411930000,1.9863322
42-317436710000,2.0712304
42-173385290000,2.732008
42-003484510000,1.9547021
42-329451070000,2.0619888
42-317396920000,2.544832447
42-329399300000,0.606874611
42-173357610000,2.30113265
42-461391650000,2.47400555
42-329386950000,2.228913013
42-105422080000,2.174690465
42-173371890000,2.10923158
42-235356360000,1.716794456
42-329399790000,2.09313181
42-317396090000,1.6541203
42-329395200000,1.705682456
42-173362850000,1.870631206
42-173365950000,1.185826656
42-173365110000,2.17817338
42-105415940000,1.790118418
42-383390870000,1.421336753
42-235352530000,2.019990988
42-105416650000,2.1916316
42-235358350000,1.603798313
42-235351090000,2.181166525
42-105415920000,1.7902733
42-105416640000,1.688752365
42-105417200000,2.306721724
42-235359220000,1.416749717
42-329404400000,1.43824295
42-329367170000,0.552442962
42-461401170000,2.3729708
42-003467190000,1.322263826
42-461398120000,1.267268229
