API_UWI,Unformatted_API_UWI_14,Latitude,Longitude,Latitude_BH,Longitude_BH
42-461-39160,4.24614E+13,31.544341,-102.018168,31.55948887,-102.0239971
42-329-38997,4.23294E+13,31.7753,-101.945155,31.79535992,-101.9515901
42-329-40661,4.23294E+13,31.66687019,-102.0990778,31.69163915,-102.1058228
42-383-38713,4.23834E+13,31.480222,-101.41117,31.45433216,-101.4110437
42-105-41463,4.21054E+13,30.935961,-101.36573,30.95963041,-101.3654775
42-329-40722,4.23294E+13,31.936427,-102.242205,31.95927022,-102.2500059
42-461-39762,4.24614E+13,31.64975,-101.89595,31.62195201,-101.8870678
42-173-36856,4.21734E+13,31.72873463,-101.4879834,31.71545296,-101.4838548
42-383-37807,4.23834E+13,31.193821,-101.742166,31.17267228,-101.7412945
42-329-40708,4.23294E+13,31.81908,-102.016734,31.83996917,-102.0212843
42-235-35636,4.22354E+13,31.17519167,-101.0010083,31.15305468,-101.003047
42-329-39979,4.23294E+13,31.937219,-101.808367,31.91381757,-101.7991432
42-317-39609,4.23174E+13,32.196348,-102.195617,32.19818162,-102.1876089
42-329-39520,4.23294E+13,31.961612,-102.246977,31.93923489,-102.2406034
42-173-36285,4.21734E+13,31.717287,-101.569623,31.73888721,-101.5761312
42-003-47067,4.20035E+13,32.141928,-102.220696,32.16194067,-102.226825
42-173-36595,4.21734E+13,31.732444,-101.302421,31.75284051,-101.3085245
42-173-36511,4.21734E+13,31.706002,-101.389969,31.69268289,-101.3857187
42-105-41594,4.21054E+13,31.021132,-101.314857,31.04398963,-101.3150754
42-383-39087,4.23834E+13,31.082751,-101.278152,31.05868137,-101.2756905
42-235-35253,4.22354E+13,31.103582,-101.254835,31.12472844,-101.2563697
42-105-41665,4.21054E+13,31.037389,-101.248762,31.01390939,-101.2485757
42-235-35835,4.22354E+13,31.254622,-101.136902,31.27548537,-101.1357353
42-235-35109,4.22354E+13,31.211769,-101.218052,31.19148371,-101.2186179
42-105-41592,4.21054E+13,31.021096,-101.314789,31.04394821,-101.3173374
42-105-41664,4.21054E+13,31.036479,-101.261051,31.01379269,-101.2633069
42-105-41720,4.21054E+13,31.014112,-101.219404,31.03698531,-101.2169096
42-235-35922,4.22354E+13,31.082726,-101.268172,31.05870854,-101.2703524
