,Latitude,Longitude,BH Latitude,BH Longitude
42-003431910000,32.45407698,-102.3443938,32.46557025,-102.3481694
42-003432740000,32.4801,-102.3622,32.49155518,-102.3661793
42-003448810000,32.48053457,-102.283742,32.46120389,-102.2775794
42-003449800000,32.42830219,-102.2616586,32.44068128,-102.2655466
42-003450180000,32.5178466,-102.2134316,32.5363584,-102.2193963
42-003451430000,32.4626032,-102.2414832,32.4748494,-102.2453756
42-003452730000,32.43476111,-102.2237722,32.42193611,-102.2197667
42-003452810000,32.12436111,-102.2206889,32.10448132,-102.2140652
42-003453090000,32.3514056,-102.2602354,32.33002134,-102.2532931
42-003453590000,32.3414333,-102.4366862,32.32619778,-102.4329156
42-003454960000,32.34544266,-102.2559315,32.36546876,-102.2650451
42-003455330000,32.29381509,-102.2819017,32.31315557,-102.2893279
42-003456380000,32.289935,-102.224191,32.311472,-102.231197
42-003457490000,32.35208944,-102.2622286,32.38065472,-102.2696317
42-003457500000,32.35206778,-102.2623219,32.37910667,-102.2714433
42-003457650000,32.47447983,-102.389439,32.49821924,-102.396089
42-003457760000,32.43371111,-102.2360139,32.411775,-102.2285028
42-003458070000,32.14045,-102.2259889,32.1607686,-102.2315184
42-003458230000,32.1405189,-102.2258193,32.16061592,-102.23255
42-003458250000,32.4491443,-102.2982502,32.42752855,-102.291091
42-003458730000,32.3526224,-102.2645312,32.32719182,-102.255735
42-003458900000,32.1241644,-102.2215303,32.10428223,-102.2149004
42-003458940000,32.12419167,-102.2214056,32.10452561,-102.2144462
42-003458950000,32.14025673,-102.2268322,32.16019409,-102.2331301
42-003458960000,32.14028629,-102.2267075,32.14050193,-102.2263676
42-003459520000,32.298506,-102.253719,32.320851,-102.260734
42-003459530000,32.287583,-102.232393,32.307823,-102.238522
42-003459990000,32.12413333,-102.2216528,32.10423663,-102.2154789
42-003460770000,32.35951435,-102.2199635,32.33379783,-102.2085453
42-003460780000,32.35938889,-102.2196269,32.33363233,-102.2094647
42-003461630000,32.49555237,-102.2950394,32.4735013,-102.2879444
42-003462280000,32.288533,-102.235967,32.28855673,-102.2358763
42-003462490000,32.180307,-102.237302,32.161435,-102.231785
42-003462550000,32.278461,-102.251673,32.298612,-102.258214
42-003463050000,32.30693056,-102.2235528,32.27908056,-102.2146333
42-003463150000,32.43422778,-102.2332722,32.4122755,-102.2263087
42-003463240000,32.40014722,-102.2824778,32.37846387,-102.2755969
42-003463510000,32.35467207,-102.2509281,32.32624495,-102.2411485
42-003463520000,32.3546477,-102.2510289,32.32594,-102.241835
42-003463610000,32.39935278,-102.2850778,32.37794167,-102.277475
42-003463630000,32.39933056,-102.2851556,32.37752778,-102.2794944
42-003463780000,32.187521,-102.239024,32.161329,-102.230971
42-003463780001,32.187521,-102.239024,32.16133469,-102.2309834
42-003463780002,32.187521,-102.239024,32.16133469,-102.2309834
42-003464100000,32.35277961,-102.2567161,32.37983102,-102.26762
42-003464110000,32.35280106,-102.2566223,32.38037663,-102.2656896
42-003464860000,32.187471,-102.237361,32.161429,-102.230686
42-003465290000,32.49494092,-102.2977096,32.47289311,-102.2906671
42-003465330000,32.38140278,-102.3851667,32.35508333,-102.3769583
42-003465330001,32.38140278,-102.3851667,32.35508379,-102.3769585
42-003465490000,32.185974,-102.23835,32.161473,-102.230459
42-003465740000,32.11740083,-102.2848008,32.10410328,-102.2804437
42-003465800000,32.38062222,-102.4310222,32.40122756,-102.4376895
42-003465800001,32.38062222,-102.4310222,32.40122756,-102.4376895
42-003466700000,32.296365,-102.262817,32.318638,-102.270074
42-003466760000,32.38090444,-102.4298025,32.40105632,-102.4362219
42-003466760001,32.38090444,-102.4298025,32.40105632,-102.4362219
42-003466850000,32.4162137,-102.23547,32.39328875,-102.2272061
42-003467190000,32.185466,-102.240482,32.160875,-102.232876
42-003467200000,32.185498,-102.240356,32.16088,-102.232845
42-003468140000,32.28410383,-102.2944129,32.31104683,-102.3028948
42-003469140000,32.295847,-102.26484,32.2978612,-102.2653255
42-003469550000,32.3557554,-102.2353978,32.3857471,-102.2418061
42-003469560000,32.35565222,-102.2356581,32.38413178,-102.2486154
42-003469570000,32.3557021,-102.235529,32.3850921,-102.2447401
42-003469620000,32.47161306,-102.3977083,32.47165,-102.3974437
42-003470410000,32.13990907,-102.228328,32.15979756,-102.2348044
42-003470420000,32.13988074,-102.2284527,32.15979254,-102.2348417
42-003470430000,32.13953275,-102.2299485,32.15943587,-102.2364804
42-003470440000,32.13950383,-102.2300733,32.15945701,-102.2363878
42-003470460000,32.13912714,-102.2316938,32.15874991,-102.239421
42-003470610000,32.1389677,-102.2323796,32.15910796,-102.2378928
42-003470620000,32.13893854,-102.232504,32.15874574,-102.2394297
42-003470630000,32.14106016,-102.2233731,32.16032286,-102.22742
42-003470640000,32.14103183,-102.2234979,32.16107597,-102.2294516
42-003470640001,32.14103183,-102.2234979,32.16102594,-102.2296758
42-003470670000,32.14178431,-102.2202566,32.16179262,-102.2263833
42-003470680000,32.1418132,-102.2201316,32.16215706,-102.2248245
42-003470790000,32.39637778,-102.2597167,32.36869167,-102.2519278
42-003470800000,32.39640611,-102.2596258,32.3691779,-102.2499697
42-003471670000,32.40740278,-102.2110194,32.38714167,-102.2043833
42-003471680000,32.40741944,-102.2109417,32.38707222,-102.2045806
42-003471950000,32.295623,-102.265839,32.317849,-102.273249
42-003472010000,32.43278889,-102.2369833,32.41141111,-102.2300861
42-003472020000,32.43281111,-102.2368861,32.41181111,-102.2281889
42-003472040000,32.3559712,-102.2527502,32.3811898,-102.2618102
42-003472050000,32.3560048,-102.2526067,32.3817792,-102.2594046
42-003472080000,32.3575063,-102.2181422,32.3337295,-102.2076966
42-003472090000,32.35747833,-102.2182836,32.33335273,-102.2092942
42-003472100000,32.3574488,-102.2184258,32.3325994,-102.2126539
42-003472870000,32.47756111,-102.2688806,32.49844548,-102.2754649
42-003472930000,32.3519693,-102.2544475,32.33477187,-102.2509907
42-003472940000,32.3520013,-102.2543067,32.3249784,-102.2459991
42-003472950000,32.3520336,-102.2541662,32.3255086,-102.2437385
42-003472990000,32.50196667,-102.2589083,32.52324297,-102.2656826
42-003473140000,32.4580915,-102.2172663,32.4798815,-102.2252095
42-003473220000,32.13917798,-102.2314754,32.15905831,-102.2380896
42-003473260000,32.480635,-102.2184226,32.4952809,-102.2235921
42-003473310000,32.4806495,-102.2183597,32.4957661,-102.2214327
42-003473390000,32.298568,-102.256859,32.320196,-102.263712
42-003473420000,32.397328,-102.2555874,32.369651,-102.2478136
42-003473430000,32.39735167,-102.2554958,32.3702021,-102.2458152
42-003473440000,32.3578015,-102.2280513,32.3306968,-102.220771
42-003473450000,32.3578266,-102.2279088,32.3312539,-102.218298
42-003473460000,32.357852,-102.2277663,32.3316944,-102.2157922
42-003473530000,32.34169,-102.240423,32.368505,-102.251519
42-003473540000,32.341723,-102.240283,32.369082,-102.248999
42-003473550000,32.341754,-102.240141,32.369666,-102.246479
42-003473680000,32.44391111,-102.2334306,32.41276111,-102.223925
42-003473690000,32.44393056,-102.2333361,32.41331389,-102.2223306
42-003473700000,32.44395278,-102.2332417,32.4135,-102.2207806
42-003473780000,32.354312,-102.234664,32.329269,-102.229448
42-003473790000,32.354366,-102.234532,32.329389,-102.22678
42-003473800000,32.354419,-102.234401,32.330034,-102.224038
42-003473920000,32.294191,-102.248811,32.321427,-102.257627
42-003473940000,32.294158,-102.248951,32.321929,-102.257938
42-003474060000,32.283477,-102.221899,32.312659,-102.231237
42-003474070000,32.283508,-102.221758,32.313007,-102.230113
42-003474080000,32.283539,-102.221617,32.312982,-102.230187
42-003474090000,32.283128,-102.223464,32.312441,-102.232336
42-003474100000,32.283097,-102.223605,32.312554,-102.2323
42-003474380000,32.282282,-102.228027,32.31192004,-102.2347885
42-003474390000,32.282313,-102.227886,32.31162,-102.236502
42-003474600000,32.282678,-102.226252,32.312086,-102.234439
42-003474610000,32.282646,-102.226393,32.28705041,-102.2277105
42-003474620000,32.13139278,-102.2359242,32.15787692,-102.2425524
42-003474630000,32.13153,-102.23597,32.15774947,-102.242485
42-003474660000,32.289507,-102.249317,32.321551,-102.259536
42-003474670000,32.289473,-102.249457,,
42-003474680000,32.289128,-102.250923,32.321049,-102.261705
42-003474690000,32.289095,-102.251063,32.321061,-102.261617
42-003474710000,32.41518056,-102.2346222,32.45270556,-102.2454472
42-003474720000,32.41515833,-102.2347167,32.45235278,-102.24755
42-003474900000,32.11884028,-102.2293203,32.08827442,-102.2194704
