well_id,operator_company,county,landing_zone,date_completed,lateral_len,total_fluid,total_proppant,well_spacing,fluid,prop,avg_ppg,oil_eur,gas_eur,isopach,porosity,sw,tvd,fvf,oil_eur_perft,OOIP,OilRF,BV,Normalized_Compl,Lat,Long,BH Lat,BH Long,EUR_Actual,Eur_Model_Predict
42-461412610000,CROWNQUEST,UPTON,WOLFCAMP A,3/24/2020,7545,383405,19020713,636.6175702,50.8,2521,1.2,334,4316,315.1,0.086,0.055339474,8708,1.4,44.26772697,15.64165458,0.02135324,1513513392,1422.398432,31.611169,-101.80485,31.5891864,-101.7997079,,
42-317393750000,CONOCOPHILLIPS,MARTIN,MIDDLE SPRABERRY,3/8/2015,7233,190757,6871090,868.6834753,26.4,950,0.856782107,466,488,250.2,0.078,0.226120371,8570.1,1.4,64.42693212,12.07139752,0.03860365,1572053532,681.3384744,32.148476,-102.210384,32.1282946,-102.2039224,,
42-173371580000,DISCOVERY,GLASSCOCK,WOLFCAMP A,8/13/2016,10162,299642,12454476,743.5334665,29.5,1226,0.989507667,334,1414,293.2,0.045,0.118486729,7086.6,1.6,32.86754576,9.781721708,0.034145318,2215356774,759.4667594,31.674779,-101.315171,31.70472441,-101.322854,,
42-461398230000,PIONEER,UPTON,WOLFCAMP B,4/30/2015,7627,280965,8594466,1310.254514,36.8,1127,0.729166667,342,1590,254.1,0.071,0.163327861,9413,1.5,44.84069752,17.90963407,0.019095868,2539300370,621.2807643,31.463428,-102.008668,31.48548466,-102.0145216,,
42-329401390000,PIONEER,MIDLAND,WOLFCAMP B,8/14/2015,5806,294214,9643109,659.5279004,50.7,1661,0.780031934,340,2399,235.6,0.073,0.343633752,9047.8,1.7,58.56011023,4.528516023,0.075079783,902163994,1831.165532,31.971939,-101.826969,31.98850629,-101.8332896,340,251
42-329401840000,CHEVRON,MIDLAND,WOLFCAMP A,11/2/2015,7317,220557,9284557,688.860641,30.1,1269,1.003796868,209,375,351.3,0.067,0.128728653,9756.5,1.7,28.56361897,10.82859545,0.019300749,1770690170,699.4038687,31.838051,-102.02968,31.81685168,-102.0239001,209,247
42-461388780000,TRP OPERATING,UPTON,WOLFCAMP B,10/19/2013,5270,180863,7944764,1018.057066,34.3,1508,1.046786061,156,726,233,0.065,0.291494648,8839.2,1.5,29.60151803,6.83524571,0.022822881,1250082452,812.38301,31.27952,-101.948053,31.26355771,-101.953372,156,207
42-317403200000,PIONEER,MARTIN,LOWER SPRABERRY,6/27/2016,8168,375220,11387769,890.8642976,45.9,1394,0.723104056,318,234,374.7,0.08,0.202567904,9341.5,1.4,38.9324192,22.12671179,0.014371769,2726534370,772.7246439,32.276584,-102.109993,32.30113011,-102.1149097,318,339
42-173374700000,LAREDO,GLASSCOCK,WOLFCAMP A,5/2/2017,13450,770192,24518340,1401.268635,57.3,1823,0.757500208,514,4311,298.1,0.055,0.083051022,7270.8,1.6,38.21561338,31.53869931,0.016297438,5618309522,769.7383106,31.675779,-101.326092,31.63734577,-101.3257832,514,406
42-461403510000,SM ENERGY,UPTON,WOLFCAMP A,12/6/2016,7770,461362,14585340,710.7243284,59.4,1877,0.752364919,257,330,448.2,0.056,0.077136334,9260.9,1.5,33.07593308,15.18723132,0.01692211,2475107424,1046.640483,31.646363,-102.247445,31.67006576,-102.2552482,,
