UID,Calc_Dist
42-329347820000,1172.426536
42-383383800000,720.0437405
42-227404170000,1152.058104
42-329341670000,2488.44561
42-173347030000,720.9416015
42-383383380000,609.4755549
42-383397890000,1551.401053
42-383398140000,1748.430671
42-033320710000,2240.454973
42-105413590000,2318.673717
42-033324220000,659.6553741
42-033324540000,925.1200268
42-033324810000,1024.892269
42-461350210000,1256.008459
42-329359080000,1834.822059
42-461344230100,1231.580402
42-461356960000,1835.720609
42-003458070000,423.4120126
42-003463150000,672.7643145
42-003470800000,652.4415927
42-003472080000,1632.490724
42-003472090000,791.689959
42-003472100000,899.1339235
42-003474080000,322.9172328
42-003477230000,784.3713231
42-003477550000,711.7112166
42-003479440000,557.1600344
42-003479480000,1102.35871
42-003481070000,1368.334573
42-003481290000,739.8043448
42-033324660000,653.773591
42-033324710000,658.4001783
42-033324760000,1671.299095
42-003458230000,787.497803
42-003464860000,785.1841705
42-003469570000,885.1394847
42-003470620000,1023.483029
42-003473420000,660.3904859
42-003477070000,1583.085213
42-003479410000,474.5347259
42-003480270000,841.5472147
42-003481350000,1453.743001
42-003481360000,309.9989645
42-003481640000,762.6574537
42-003481680000,914.0938106
42-003481690000,921.9811603
42-003481700000,1009.126976
42-105412340000,1170.918093
42-105412520000,1013.119987
42-105412730000,1908.072962
42-105413960000,885.0099298
42-105414310000,1699.662446
42-105414400000,910.4457879
42-105414630000,1281.437441
42-105414710000,743.9743236
42-105415950000,1004.69203
42-105416140000,930.0167186
42-105416190000,401.5683506
42-105416350000,778.6283593
42-105416570000,919.896203
42-105416730000,763.1026507
42-105417590000,910.4299452
42-105417990000,692.9258194
42-105418120000,701.7099614
42-105418140000,1417.872823
42-105418770000,780.2411589
42-105418820000,765.2436038
42-105419580000,1559.618627
42-105419840000,647.3446128
42-105419960000,697.8172252
42-105420240000,926.2924958
42-105420340000,1376.682558
42-105420420000,1409.213604
42-105420640000,729.0006486
42-105420660000,1537.392304
42-105420670000,1916.116114
42-105421380000,757.188198
42-105421400000,753.3369078
42-105421510000,680.4826443
42-105421530000,733.160052
42-105421870000,1139.222808
42-105422020000,2620.642519
42-105422120000,1912.153408
42-105423110000,1479.946452
42-105423140000,1577.272963
42-105423490000,1531.695041
42-105423650000,1505.050761
42-105423820000,2084.086219
42-431334270000,751.22503
42-105413490000,699.1568478
42-105413930000,850.230452
42-105414480000,929.5867003
42-105414640000,872.708079
42-105414860000,761.2909216
42-105416030000,1475.513949
42-105416560000,1011.150611
42-105416720000,764.44902
42-105417100000,744.280821
42-105417270000,838.653373
42-105417560000,2336.185836
42-105418010000,1149.505633
42-105418100000,664.3717201
42-105418880000,1007.6968
42-105419210000,891.3418055
42-105419240000,1529.830238
42-105419630000,1723.268286
42-105419660000,1005.2722
42-105419910000,811.4651115
42-105420270000,712.7788351
42-105420800000,1533.95736
42-105420880000,1475.383149
42-105422280000,1950.599704
42-105422830000,2110.814981
42-105423500000,1535.483567
42-105424050000,1504.725134
42-173339990000,2475.587502
42-173343680000,661.9615027
42-173355680000,1331.949472
42-173356030000,1129.335969
42-173357350000,1358.467439
42-173360230000,1337.320247
42-173360400000,1449.744405
42-173361970000,1373.610265
42-173362190000,643.0861205
42-173362200000,1254.310215
42-173363350000,1541.392138
42-173363750000,728.6432139
42-173366920000,656.1445297
42-173367010000,664.7137912
42-173367380000,436.7698337
42-173368200000,1388.105928
42-173368220000,960.441961
42-173368600000,335.2274187
42-173371890000,1572.888278
42-173371950000,691.3511115
42-173372070000,679.1430844
42-173372370000,887.1474001
42-173372450000,1381.104147
42-173372540000,964.4746273
42-173372810000,1400.627655
42-173373640000,821.3954113
