Well_UID,WellPadID
42-329414590001,42-329-40935
42-227360490001,42-227-36049
42-329345410001,42-329-34541
42-105422250100,42-105-42225
42-445316610200,42-445-31661
42-003470620000,42-003-45312
42-135434210000,42-135-42712
42-461397620000,42-461-39764
42-173368560000,42-173-36844
42-383378070000,42-383-37807
42-329407080000,42-329-40707
42-003470670000,42-003-47063
42-105423450000,42-105-42347
42-173374360000,42-173-37201
42-329403100000,42-329-40320
42-329410310000,42-329-40995
42-329414620000,42-329-41462
42-383397300000,42-383-39728
42-383397930000,42-383-39776
42-329395200000,42-329-38035
42-173362850000,42-173-36285
42-173365950000,42-173-36005
42-173365110000,42-173-36511
42-105415940000,42-105-41592
42-383390870000,42-383-39085
42-235352530000,42-235-35253
42-105416650000,42-105-41665
42-235358350000,42-235-35833
42-235351090000,42-235-35109
42-105415920000,42-105-41592
42-105416640000,42-105-41663
42-105417200000,42-105-41718
42-235359220000,42-235-35923
42-329404400000,42-329-40444
42-329367170000,42-329-36717
42-461401170000,42-461-40117
42-003467190000,42-003-46720
42-461398120000,42-461-39813
42-329400140000,42-329-40014
42-227384550000,42-227-38455
42-329404450000,42-329-40443
42-383394670000,42-383-39467
42-317398930000,42-317-39893
42-383397950000,42-383-39776
42-173373740000,42-173-37375
42-235358780000,42-235-35878
42-383398020000,42-383-39809
42-329414930000,42-329-41443
42-003474900000,42-003-47503
42-329415190000,42-329-41519
42-227390050000,42-227-39008
42-173375360000,42-173-37276
42-317407100000,42-317-40709
42-329415540000,42-329-41552
42-003475160000,42-003-47515
42-329415670000,42-329-41567
42-329415660000,42-329-41567
42-317407030000,42-317-40703
42-173375650000,42-173-37563
42-329416520000,42-329-40692
42-227391140000,42-227-39112
42-383398680000,42-383-39868
42-173376030000,42-173-37603
42-329417400000,42-329-41741
42-003475680000,42-003-47568
42-461406140000,42-461-40616
42-227391870000,42-227-38869
42-003476040000,42-003-47605
42-317409400000,42-317-40049
42-461406430000,42-461-40616
42-329419250000,42-329-41925
42-173377070000,42-173-37707
42-383399780000,42-383-39974
42-329419360000,42-329-41936
42-329419560000,42-329-41955
42-173377180000,42-173-37612
42-317409210000,42-317-40921
42-235362150000,42-235-36214
42-173377020000,42-173-37699
42-317409960000,42-317-40995
42-461406930000,42-461-40691
42-329419660000,42-329-41964
42-227393360000,42-227-39108
42-329420630000,42-329-42065
42-317411180000,42-317-41116
42-227393750000,42-227-39375
42-235362360000,42-235-35634
42-227394490000,42-227-39449
42-383401290000,42-383-40126
42-317412500000,42-317-41251
42-329422770000,42-329-42278
42-383401490000,42-383-40148
42-329422990000,42-329-42299
42-383401550000,42-383-40155
42-317413510000,42-317-41144
42-227395610000,42-227-39561
42-329423960000,42-329-42394
42-317414090000,42-317-41408
42-461408060000,42-461-40806
42-383402550000,42-383-40255
42-227395190000,42-227-39519
42-329425290000,42-329-42530
42-317414450000,42-317-41448
42-317414440000,42-317-41498
42-227396340000,42-227-39633
42-227396360000,42-227-39637
42-235362830000,42-235-36171
42-329424920000,42-329-42482
42-317415390000,42-317-41511
42-317415500000,42-317-41530
42-235363060000,42-235-36306
42-383403220000,42-383-40329
42-329425730000,42-329-42172
42-329427030000,42-329-42701
42-329426490000,42-329-40526
42-317416500000,42-317-41636
42-329427180000,42-329-42716
42-317416480000,42-317-41648
42-317416420000,42-317-41640
42-317416710000,42-317-41672
42-329427550000,42-329-42756
42-329427680000,42-329-42538
42-329427900000,42-329-42788
42-383403690000,42-383-40369
42-329427640000,42-329-42764
42-173379680000,42-173-37968
42-329428850000,42-329-42884
42-227397970000,42-227-39797
42-461410010000,42-461-41001
42-461410300000,42-461-41029
42-461410340000,42-461-41036
42-329429930000,42-329-42346
42-227399190000,42-227-39919
42-329429430000,42-329-42756
42-033325040000,42-033-32504
42-317420250000,42-317-40883
42-329430410000,42-329-43043
42-329430620000,42-329-43004
42-383405020000,42-383-40502
42-227399930000,42-227-39993
42-329431030000,42-329-41949
42-235363840000,42-235-36353
42-329431150000,42-329-43112
42-173381100000,42-173-38111
42-461410690000,42-461-40763
42-329431550000,42-329-43155
42-235363980000,42-235-36399
42-317421560000,42-317-42159
42-329431850000,42-329-43186
42-461411230000,42-461-41123
42-329432280000,42-329-41874
42-461411440000,42-461-41142
42-317422420000,42-317-42242
42-227401510000,42-227-39874
42-227401500000,42-227-40150
42-383406180000,42-383-40555
42-329433450000,42-329-43336
42-329433030000,42-329-43300
42-317423300000,42-317-32225
42-461412140000,42-461-41212
42-383406570000,42-383-40657
42-329434640000,42-329-43465
42-461412230000,42-461-41223
42-317423580000,42-317-42358
42-329434120000,42-329-43310
42-227402520000,42-227-40251
42-317424130000,42-317-42414
42-227402310000,42-227-40231
42-317424650000,42-317-42462
42-317424220000,42-317-39319
42-173381870000,42-173-38179
42-329436180000,42-329-43620
42-329436120000,42-329-43620
42-317424950000,42-317-42495
42-227402980000,42-227-40296
42-329436290000,42-329-43624
42-461412980000,42-461-40711
42-461412920000,42-461-41269
42-227403210000,42-227-39369
42-227403570000,42-227-40357
42-173382260000,42-173-38227
42-461413350000,42-461-41335
42-003481860000,42-003-48185
42-317426360000,42-317-42560
42-317426220000,42-317-42631
42-227404220000,42-227-40423
42-461413760000,42-461-41375
42-329439960000,42-329-43994
42-317428280000,42-317-42829
42-383388490100,42-383-38850
42-115009950100,42-115-00995
42-317428320000,42-317-42836
42-329441060000,42-329-44106
42-329441450000,42-329-44141
42-329442050000,42-329-41193
42-329442820000,42-329-42988
42-329443150000,42-329-44315
42-461415460000,42-461-41626
42-317431630000,42-317-43165
42-329443850000,42-329-44382
42-003482710000,42-003-48269
42-003482890000,42-003-48288
42-383409160000,42-383-40916
42-329445170000,42-329-44514
42-227408420000,42-227-40842
42-461416430000,42-461-41646
42-135437840000,42-135-43784
42-329446150000,42-329-44614
42-173374950000,42-173-37495
42-227389020000,42-227-38902
42-329405600000,42-329-40513
42-383397060000,42-383-39700
42-461404850000,42-461-40485
