well_id,class
42-383389920000,2
42-383375670000,3
42-461400590000,2
42-383385530000,3
42-461398150000,1
42-329402720000,0
42-329413330000,0
42-317405940000,2
42-383397660000,3
42-383395770000,0
42-173373580000,0
42-317405320000,2
42-329396510000,0
42-329406670000,2
42-329409480000,2
42-329414590000,2
42-317405080000,2
42-329408010000,2
42-329408020000,2
42-329410070000,0
42-317403980000,2
42-317404430000,1
42-329409000000,2
42-329413450000,2
42-383397220000,1
42-461401150000,0
42-461397680000,2
42-461402530000,2
42-461404250000,2
42-173374950000,1
42-227389020000,1
42-329405600000,2
42-461389100000,2
42-329399790000,0
42-173365950000,3
42-383390870000,3
42-329404400000,2
42-461401170000,2
42-461398120000,0
42-329389970000,2
42-461397620000,2
42-173368560000,3
42-329407080000,2
42-383394600000,1
42-329410310000,2
42-461391070000,2
42-173374740000,1
42-173373890000,0
42-227389060000,1
42-317403200000,2
42-317380920000,2
42-461393880000,0
42-383394790000,0
42-173372050000,1
42-317401970000,2
42-317403140000,2
42-317402790000,2
42-461401730000,2
42-461391380000,0
42-461400910000,2
42-383383710000,3
42-329403520000,2
42-317403760000,2
42-329416110000,2
42-383399040000,3
42-317408740000,0
42-173376630000,1
42-461406340000,2
42-329418690000,2
42-227392340000,3
42-461407420000,2
42-329422220000,0
42-329422570000,1
42-329421050000,2
42-329422920000,2
42-227395270000,3
42-461407870000,0
42-383401910000,3
42-461393020000,0
42-383402700000,3
42-329411190000,2
42-461404480000,0
42-461408770000,2
42-317414820000,0
42-383403250000,3
42-329425690000,0
42-317416230000,2
42-227397220000,1
42-329428560000,2
42-317419080000,0
42-317419410000,2
42-227399760000,1
42-329430880000,0
42-317421670000,0
42-329405150000,2
42-461391600000,2
42-329407220000,2
42-329414620000,0
42-173375200000,0
42-227387890000,3
42-227389230000,3
42-383375630000,3
42-227401330000,3
42-317424110000,0
42-227403180000,3
42-317405020000,0
42-329406180000,0
42-383382910000,3
42-329407460000,2
42-329410530000,2
42-329411340000,2
42-329414180000,0
42-329408250000,0
42-329414440000,0
42-329403640000,0
42-329403710000,0
42-329404800000,0
42-329405500000,0
42-329408100000,2
42-329410590000,0
42-329413630000,1
42-329414410000,0
42-461401680000,2
42-461404920000,2
42-461402120000,2
42-461402340000,2
42-461403960000,1
42-461403300000,2
42-461405140000,0
42-317396920000,2
42-329399300000,2
42-173357610000,3
42-461391650000,2
42-329386950000,2
42-173371890000,1
42-461402320000,2
42-329402110000,0
42-329400140000,2
42-329404450000,2
42-227382570000,3
42-329402360000,0
42-383397950000,0
42-173373740000,1
42-383398020000,3
42-329414930000,0
42-329415190000,2
42-227390050000,3
42-227384550000,1
42-173375360000,1
42-329415540000,0
42-003475160000,0
42-329415670000,2
42-329415660000,0
42-317407030000,2
42-329416520000,0
42-173376030000,1
42-329417400000,0
42-003475680000,2
42-461406140000,2
42-003476040000,2
42-317409400000,1
42-461406430000,0
42-329419250000,2
42-173377070000,3
42-329407030000,0
42-329395200000,2
42-317404650000,2
42-317409210000,0
42-173377020000,0
42-317409960000,2
42-329419660000,2
42-227393360000,1
42-329420630000,2
42-227393750000,1
42-317412500000,2
42-329422770000,2
42-329422990000,2
42-317413510000,2
42-227395610000,3
42-329423960000,2
42-227395190000,1
42-329425290000,0
42-317414450000,0
42-317414440000,0
42-227396340000,3
42-227396360000,3
42-329424920000,0
42-383403220000,3
42-329425730000,0
42-329427030000,2
42-329426490000,2
42-317416500000,0
42-329427180000,2
42-329391920000,2
42-329393660000,2
42-317402900000,0
42-173368450000,3
42-317416710000,2
42-329427550000,2
42-329427680000,0
42-329427900000,0
42-383403690000,3
42-329427640000,0
42-329428850000,0
42-461410300000,1
42-329429930000,2
42-227399190000,3
42-329429430000,2
42-317420250000,2
42-329430620000,0
42-227399930000,3
42-173381100000,1
42-461410690000,0
42-329431550000,2
42-317421560000,2
42-329431850000,0
42-461411230000,2
42-317422420000,0
42-227401510000,1
42-383406180000,3
42-329433450000,0
42-329433030000,2
42-461412140000,0
42-461412230000,0
42-317424130000,1
42-173381870000,3
42-227404220000,3
42-383393330000,3
42-227385420000,3
42-329414760000,2
42-461403420000,1
42-003474980000,2
42-329415960000,0
42-329416460000,0
42-173375740000,1
42-329416570000,0
42-383398660000,3
42-329417290000,2
42-227391590000,3
42-383399210000,1
42-329417790000,1
42-227391890000,1
42-173376910000,0
42-317409180000,1
42-227392400000,3
42-461406590000,2
42-317410300000,2
42-227393170000,1
42-383400440000,2
42-329420990000,2
42-227393850000,3
42-329421480000,0
42-383400610000,1
42-329421470000,0
42-329421620000,0
42-227394090000,1
42-383400760000,0
42-003476970000,2
42-317412700000,2
42-227394930000,1
42-329423050000,0
42-227395230000,1
42-227395210000,3
42-383401750000,3
42-317413590000,2
42-317413810000,1
42-329423410000,2
42-317413290000,0
42-173378770000,1
42-173378820000,3
42-383402770000,3
42-317414000000,0
42-173379030000,1
42-329425540000,2
42-329425620000,0
42-329426380000,0
42-317416260000,2
42-329427390000,2
42-227397340000,1
42-329426820000,0
42-227397570000,3
42-317416550000,1
42-329428890000,2
42-461409970000,2
42-227398610000,3
42-461410350000,1
42-383404720000,3
42-317418870000,1
42-227399000000,3
42-317419500000,2
42-227399720000,1
42-461410620000,0
42-317420780000,2
42-461411060000,2
42-329431730000,0
42-227400860000,3
42-227400880000,3
42-329432350000,2
42-329432730000,2
42-173381610000,1
42-329433660000,2
42-227401590000,1
42-461412120000,2
42-317423650000,0
42-227402710000,3
42-317423750000,1
42-227403160000,3
42-383407540000,1
42-461413530000,0
42-317398520000,0
42-383391280000,1
42-329411020000,2
42-317403830000,2
42-329413560000,0
42-329403950000,0
42-329408940000,0
42-329413730000,0
42-383396830000,3
42-383375550000,1
42-227386680000,3
42-383385610000,1
42-383394240000,3
42-383395510000,3
42-317401750000,0
42-317405380000,1
42-317405470000,0
42-329408770000,0
42-317401950000,2
42-329400520000,2
42-383386280000,3
42-383393750000,1
42-383390350000,0
42-329393340000,2
42-329403560000,0
42-173375270000,0
42-383382260000,1
42-317407350000,2
42-227390490000,1
42-329415940000,0
42-329416320000,0
42-461405800000,2
42-227390760000,1
42-227391080000,1
42-227391120000,3
42-003475420000,0
42-317408330000,1
42-461406040000,2
42-173376020000,0
42-227391670000,3
42-227391760000,1
42-317409260000,2
42-227392700000,3
42-317409970000,2
42-329420310000,2
42-227392980000,3
42-317411420000,2
42-317412900000,2
42-329422150000,0
42-317412890000,2
42-173378390000,0
42-317413240000,0
42-317413540000,2
42-317413670000,1
42-461407930000,0
42-329423800000,0
42-329425100000,0
42-461408810000,2
42-317415200000,0
42-329426350000,0
42-383403160000,3
42-461409140000,2
42-329426710000,0
42-173379410000,1
