pad_id,Actual,Predicted
42-461-40172,615.0,479.27243509183336
42-329-40648,351.0,276.1250676224665
42-461-40520,282.6666666666667,239.10497395695168
42-317-39618,178.5,261.7029181015475
42-227-39725,454.5,360.36483234775363
42-329-40655,569.0,412.9316015526784
42-329-42807,566.0,410.9368671832697
42-461-38878,156.0,193.52045094063328
42-383-38758,327.0,259.22615650220223
42-329-40697,267.0,260.88945286382693
42-173-37442,224.0,283.73510985897764
42-317-39733,343.0,290.62341148670697
42-173-37744,372.0,460.8322753160584
42-329-40960,482.0,375.9860283756518
42-461-40309,297.0,318.3946937121694
42-461-39180,108.0,196.50418342932105
42-383-37701,127.0,243.82482127317581
42-227-39621,518.5,394.10845870980455
42-227-39332,450.0,281.6611203942112
42-329-39059,227.0,181.96055536553052
42-383-38611,159.5,263.9854514948286
42-003-48015,391.0,401.89188888596993
42-227-39838,470.0,380.065438098628
42-383-39315,269.0,314.177875516771
42-329-41541,387.0,325.76217973666144
42-461-40701,247.5,341.85735581582264
42-329-43186,295.0,372.25638019584164
42-329-40132,573.0,436.1472534844321
42-173-37779,337.0,354.52083202205677
42-461-39410,156.0,196.50418342932105
42-329-41275,516.0,422.5388454315884
42-461-40320,311.5,382.9563875746261
42-317-41273,177.0,467.4320499306905
42-329-40595,251.0,194.6724393834618
42-461-40767,364.5,239.50540457620656
42-329-42779,307.0,265.5373220407474
42-329-41877,274.0,375.0290697705632
42-383-38440,230.0,314.14932921317626
42-329-42154,476.0,368.36318440626025
42-173-38075,144.5,204.02830315072717
42-329-39534,215.0,290.2185182185368
42-329-40256,397.0,370.08083560047544
42-227-39011,169.0,376.00496534460456
42-173-37866,263.0,389.6778757018552
42-317-39274,341.0,301.66207847010253
42-383-40831,520.0,404.8636576648516
42-329-39166,173.0,190.81761546229885
42-227-38235,315.0,219.2601180532731
42-317-40163,317.0,263.1239612141732
42-329-42728,515.3333333333334,417.7833970844065
42-329-42509,404.0,403.8206808607849
42-461-40081,245.5,193.62673193106997
42-173-38085,406.0,340.5963636825713
42-329-40901,534.0,409.318737734499
42-461-40174,310.0,299.8268118689424
42-329-43239,255.0,316.880946888793
42-317-41511,204.0,384.7775193335403
42-173-37679,387.3333333333333,355.01121248260955
42-461-40877,369.0,274.6002905516006
42-317-41124,187.0,358.4366872624741
42-173-37209,241.0,190.81761546229885
42-383-38226,257.0,314.18221471777736
42-227-39952,191.0,289.92484555097093
42-227-39372,399.0,316.0955136543842
42-329-34290,388.0,367.92197913990145
42-173-37165,285.0,340.2112074654876
42-317-41752,414.5,414.9810565187589
42-317-39844,251.5,329.65236395267766
42-317-40579,285.0,272.6370277749099
42-329-43202,444.0,423.64735270815316
42-227-39075,275.0,240.76217248546342
42-461-40290,262.0,220.53912988727717
42-329-38900,131.5,196.29744908709787
42-461-40600,449.0,382.09479344139476
42-329-42563,193.0,436.0365783263394
42-329-43295,513.0,412.20940293892266
42-329-42275,375.0,386.88711097421054
42-227-38434,263.0,387.14083631772064
42-227-39975,247.0,311.3920446592284
42-227-39829,128.0,194.6724393834618
42-317-40123,190.0,272.6370277749099
42-317-42217,375.0,410.9222996104274
42-003-47721,515.0,398.4783500460286
42-173-38133,337.0,440.97586576680305
42-329-41364,160.0,362.50599459269284
42-461-39164,105.0,191.85960597769815
42-227-39685,496.0,316.0938152682007
42-383-38158,316.0,316.60248977858583
42-227-38808,361.0,257.2112038402916
42-329-41850,400.5,397.3506706924625
42-317-40089,164.0,231.6933328351902
42-317-40449,378.0,369.83132927862914
42-461-41236,484.0,363.33226461663884
42-461-40425,547.0,411.6060204725791
42-329-41065,567.0,343.99590910406056
42-227-39035,558.0,340.72153235449656
42-173-36329,419.0,291.6172559561837
42-317-40936,210.0,298.3427025893053
42-329-43144,471.0,374.03800106360455
42-227-38591,276.0,303.5965200493233
42-329-42714,323.0,375.61958620546983
42-461-38516,188.0,193.8618841173764
42-227-39430,277.0,459.1215386320803
42-227-40066,654.0,423.2926718205375
42-383-39496,394.0,416.6257966965314
42-329-38749,274.0,316.4035440625399
42-227-39092,389.0,265.8747391554244
42-329-40358,278.0,224.64018775157604
42-383-40226,391.0,415.2235671388321
42-383-39611,406.0,456.17862645787875
42-461-41283,323.0,426.81792273692787
