well_id,class
42-329422220000,0
42-329415660000,0
42-329417400000,0
42-329412470000,4
42-383396570000,5
42-329404880000,1
42-317409400000,0
42-329420630000,4
42-317414440000,0
42-317406940000,0
42-383397960000,3
42-317407950000,0
42-317408870000,1
42-317409470000,1
42-329413790000,4
42-317422420000,0
42-317405320000,1
42-317403980000,1
42-317405020000,4
42-329415280000,0
42-329414180000,0
42-329403710000,1
42-329414410000,4
42-329405150000,1
42-329413330000,0
42-317405940000,4
42-329423310000,1
42-329407220000,1
42-329416460000,0
42-329416570000,0
42-329424340000,1
42-329424620000,1
42-329421470000,0
42-329421620000,4
42-317412700000,1
42-329423050000,1
42-317416550000,0
42-317418870000,0
42-329409890000,0
42-317406010000,4
42-329407030000,4
42-329423330000,1
42-317413330000,0
42-461408210000,4
42-317418820000,2
42-329395200000,1
42-317401970000,1
42-317403140000,1
42-003469560000,1
42-329394640000,4
42-329397260000,1
42-329415150000,1
42-317405350000,1
42-329413740000,1
42-329408420000,1
42-461405820000,0
42-317408150000,1
42-329419870000,4
42-317411440000,0
42-317413770000,2
42-317413470000,0
42-329416350000,1
42-329421310000,0
42-329421780000,4
42-317412090000,4
42-227398260000,2
42-329418710000,1
42-329424220000,1
42-383384150000,5
42-329414010000,1
42-003473690000,1
42-317418860000,0
42-003473800000,4
42-329408940000,1
42-329403560000,1
42-003475420000,0
42-173376010000,5
42-317412900000,1
42-317412890000,1
42-317413240000,0
42-461407930000,0
42-329425100000,4
42-461408810000,4
42-317398520000,1
42-329409920000,0
42-329410390000,0
42-329414070000,0
42-317403200000,1
42-173374700000,5
42-329401870000,1
42-383394600000,3
42-329416110000,3
42-003472090000,1
42-317402180000,0
42-317401750000,0
42-003472100000,4
42-317404080000,1
42-317408220000,0
42-317412660000,1
42-461407420000,4
42-329422570000,0
42-329421050000,4
42-461399750000,0
42-329422920000,4
42-227395270000,5
42-461402320000,4
42-383402700000,2
42-461408770000,4
42-317414820000,1
42-383403250000,2
42-329425690000,0
42-003472010000,1
42-317416230000,1
42-227397220000,5
42-329428560000,1
42-317419080000,0
42-317419410000,4
42-329413600000,1
42-329399440000,0
42-461405000000,1
42-227399760000,5
42-329430880000,4
42-317421670000,1
42-227401330000,2
42-317424110000,0
42-227403180000,5
42-383397950000,3
42-329395190000,1
42-329416310000,1
42-317408460000,4
42-317409910000,1
42-329414930000,0
42-329415190000,1
42-227390050000,5
42-173375360000,5
42-317411110000,0
42-317411550000,4
42-173378420000,0
42-329423810000,0
42-461408080000,0
42-329429270000,0
42-329415540000,0
42-003475160000,4
42-329415670000,4
42-317407030000,1
42-173376030000,2
42-317403970000,1
42-329407430000,4
42-317409210000,1
42-173377020000,0
42-317409960000,1
42-329419660000,4
42-227393360000,5
42-227393750000,5
42-329415520000,1
42-317409270000,0
42-329420220000,1
42-317412130000,0
42-329422780000,1
42-317412670000,1
42-317412680000,1
42-227395190000,0
42-329425290000,1
42-317414450000,4
42-227396340000,5
42-329424920000,4
42-317413180000,0
42-329426550000,1
42-317418990000,0
42-461410890000,0
42-317420020000,0
42-383384990000,5
42-383388920000,5
42-329415260000,0
42-329420100000,0
42-329426490000,1
42-317416500000,0
42-329427180000,1
42-317416710000,3
42-329427550000,1
42-329427680000,0
42-317418260000,4
42-003473790000,1
42-173373760000,0
42-317403920000,1
42-461410300000,2
42-329429930000,1
42-227399190000,5
42-329429430000,4
42-317420250000,4
42-329430620000,4
42-227399930000,5
42-329431550000,3
42-329398800000,1
42-317404960000,1
42-383374900000,0
42-461402520000,1
42-329416660000,4
42-003475720000,1
42-329418550000,0
42-461411230000,4
42-227401510000,5
42-329419650000,1
42-329422110000,0
42-317414980000,0
42-329433450000,1
42-329433030000,4
42-461412140000,4
42-461412230000,0
42-317418790000,0
42-317419660000,1
42-317419830000,0
42-317404980000,1
42-317405880000,4
42-329409150000,0
42-317404210000,1
42-383396000000,5
42-317424130000,0
42-173381870000,5
42-317403760000,3
42-003473420000,1
42-329415240000,0
42-461406630000,0
42-329396510000,4
42-329406670000,4
42-329409480000,4
42-329421600000,4
42-329422060000,0
42-317414810000,4
42-329427780000,3
42-317419340000,2
42-173380260000,2
42-329408010000,1
42-329409000000,4
42-329405420000,4
42-329410250000,0
42-317406070000,1
42-461397680000,4
42-461402530000,1
42-461404250000,4
42-329406180000,4
42-329407460000,3
42-329404800000,1
42-329410640000,4
42-383385380000,5
42-329412440000,4
42-173368350000,5
42-317409020000,5
42-317409560000,1
42-329413630000,0
42-461401680000,3
42-461402120000,4
42-329418970000,4
42-173379020000,0
42-317418240000,4
42-329430190000,0
42-317419620000,0
42-461402340000,4
42-461403960000,0
42-461403300000,3
42-329402720000,3
42-383397660000,5
42-317390960000,0
42-317407150000,0
42-329416340000,1
42-317408140000,1
42-383384230000,2
42-329422290000,1
42-317412510000,3
42-317412880000,0
42-329424430000,3
42-329424780000,0
42-383395770000,4
42-383383710000,2
42-173374740000,0
42-329432300000,1
42-329431750000,4
42-317422410000,0
42-329433730000,0
42-329411950000,0
42-317405260000,1
42-383386950000,0
42-329416600000,1
42-173375200000,0
42-173373890000,0
42-227389060000,5
42-461393020000,4
42-383375630000,5
42-329417320000,4
42-329421350000,0
42-003477230000,1
42-317413080000,0
42-329424070000,0
42-173373580000,0
42-003470620000,4
42-227385420000,5
42-461403420000,0
42-003474080000,1
42-383397580000,2
42-173368460000,5
42-329404870000,1
42-329410160000,1
42-003474980000,4
42-329415960000,4
42-173375740000,2
42-383398660000,2
42-329417290000,4
42-461413780000,0
42-227391590000,5
42-329417790000,2
42-317409180000,2
42-227392400000,5
42-461406590000,1
42-227393170000,0
42-329420990000,1
42-329407020000,0
42-383384460000,0
42-329401180000,1
42-317402550000,1
42-329417410000,1
42-329421480000,1
42-383400610000,2
42-227394090000,2
42-227394930000,2
42-227395230000,5
42-317413590000,1
42-329423410000,1
42-317414470000,1
42-227396490000,0
42-317418440000,0
42-317413290000,1
42-173378770000,2
42-173378820000,2
42-317414000000,4
42-329425620000,0
42-317416260000,1
42-329427390000,1
42-227397340000,5
42-461401910000,0
42-383393390000,5
42-329416080000,0
42-227384550000,2
42-227398610000,2
42-461410350000,2
42-383404720000,5
42-227399000000,5
42-329422080000,0
42-329437180000,4
42-003474090000,4
42-227403160000,5
42-383407540000,2
42-329404450000,4
42-227382570000,5
42-329402360000,3
42-329401260000,1
42-317412080000,3
42-317417270000,0
42-227398330000,0
42-329429580000,3
42-329391920000,4
42-329393660000,4
42-317402900000,4
42-003473550000,3
42-329405010000,4
42-329406890000,4
42-461403250000,1
42-173371890000,5
42-317404650000,1
42-329399790000,4
42-329404400000,1
42-461400590000,4
42-461401170000,4
42-461398120000,0
42-329393180000,4
42-383385050000,0
42-003473700000,1
42-329415270000,4
42-329416910000,1
